Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,disVeg2,disHT2,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,dna_id,prevtags,first_action,exit_time,dummy
27,,CC,,,,,,,0,0,0,0,0,0,N,84,112,0,85,0,0,0,0,,,5-Oct-81,13-Jul-81,100%,100%,0,0,0,0,,,,N,85,,,,,,,,,,,,,,,84
28,,CC,,,,,,,0,0,0,0,0,0,N,83,105,0,38,0,0,0,0,,,5-Oct-81,14-Jul-81,100%,100%,0,0,0,0,,,,N,38,,,,,,,,,,,,,,,85
29,,CC,,,,,,,0,0,0,0,0,0,N,0,103,0,97,0,0,0,0,,,,20-Jul-81,100%,100%,0,0,0,0,,,,N,97,,,,,,,,,,,,,,,86
30,,CC,,,,,,,0,0,0,0,0,0,N,0,123,0,115,0,0,0,0,,,,25-Jul-81,100%,100%,0,0,0,0,,,,N,115,,,,,,,,,,,,,,,87
31,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,25-Jul-81,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,88
32,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,25-Jul-81,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,89
33,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,27-Jul-81,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,90
34,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,27-Jul-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,91
35,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,28-Jul-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,92
36,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,28-Jul-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,93
37,,CC,,,,,,,0,0,0,0,0,0,N,0,81,0,75,0,0,0,0,,,,3-Jul-81,100%,100%,0,0,0,0,,,,N,75,,,,,,,,,,,,,,,94
38,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,28-Jul-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,95
39,,CC,,,,,,,0,0,0,0,0,0,N,0,94,0,56,0,0,0,0,,,,4-Jul-81,100%,100%,0,0,0,0,,,,N,56,,,,,,,,,,,,,,,96
40,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,28-Jul-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,97
41,,CC,,,,,,,0,0,0,0,0,0,N,0,93,0,78,0,0,0,0,,,,6-Jul-81,100%,100%,0,0,0,0,,,,N,78,,,,,,,,,,,,,,,98
42,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,29-Jul-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,99
43,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,29-Jul-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,100
44,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,29-Jul-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,101
45,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,30-Jul-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,102
46,,CC,,,,,,,0,0,0,0,0,0,N,0,44,0,25,0,0,0,0,,,,4-Jul-81,100%,100%,0,0,0,0,,,,N,25,,,,,,,,,,,,,,,103
47,,CC,,,,,,,0,0,0,0,0,0,N,0,81,0,78,0,0,0,0,,,,5-Jul-81,100%,100%,0,0,0,0,,,,N,78,,,,,,,,,,,,,,,104
48,,CC,,,,,,,0,0,0,0,0,0,N,0,74,0,26,0,0,0,0,,,,2-Aug-81,100%,100%,0,0,0,0,,,,Y,26,,,,,,,,,,,,,,,105
49,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,2-Aug-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,106
50,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,2-Aug-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,107
51,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,2-Aug-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,108
52,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,3-Aug-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,109
53,,CC,,,,,,,0,0,0,0,0,0,N,0,88,0,0,0,0,0,0,,,,5-Aug-81,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,110
54,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,8-Aug-81,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,111
55,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,12-Aug-81,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,112
1,,CC,,,,,,,0,0,0,0,0,0,N,0,141,0,123,0,0,0,0,,,,3-Jun-82,100%,100%,0,0,0,0,,,,N,123,,,,,,,,,,,,,,,113
2,,CC,,,,,,,0,0,0,0,0,0,N,0,126,0,78,0,0,0,0,,,,3-Jun-82,100%,100%,0,0,0,0,,,,Y,78,,,,,,,,,,,,,,,114
3,,CC,,,,,,,0,0,0,0,0,0,N,0,135,0,116,0,0,0,0,,,,5-Jun-82,100%,100%,0,0,0,0,,,,N,116,,,,,,,,,,,,,,,115
4,,CC,,,,,,,0,0,0,0,0,0,N,0,145,0,111,0,0,0,0,,,,7-Jun-82,100%,100%,0,0,0,0,,,,Y,111,,,,,,,,,,,,,,,116
5,,CC,,,,,,,0,0,0,0,0,0,N,0,102,0,94,0,0,0,0,,,,8-Jun-82,100%,100%,0,0,0,0,,,,N,94,,,,,,,,,,,,,,,117
6,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,8-Jun-82,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,118
7,,CC,,,,,,,0,0,0,0,0,0,N,0,96,0,94,0,0,0,0,,,,8-Jun-82,100%,100%,0,0,0,0,,,,N,94,,,,,,,,,,,,,,,119
