Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,disHT2,disVeg2,dna_id,prevtags,first_action,exit_time
32,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,25JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
33,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,27JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
34,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,27JUL1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
35,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,28JUL1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
36,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,28JUL1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
37,,CC,,,,,,,,,,,,,,,81,,75,,,,,,,,03JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
38,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,28JUL1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
39,,CC,,,,,,,,,,,,,,,94,,56,,,,,,,,04JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
40,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,28JUL1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
41,,CC,,,,,,,,,,,,,,,93,,78,,,,,,,,06JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
42,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,29JUL1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
43,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,29JUL1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
44,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,29JUL1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
45,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,30JUL1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
46,,CC,,,,,,,,,,,,,,,44,,25,,,,,,,,04JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
47,,CC,,,,,,,,,,,,,,,81,,78,,,,,,,,05JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
48,,CC,,,,,,,,,,,,,,,74,,26,,,,,,,,02AUG1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
49,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,02AUG1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
50,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,02AUG1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
51,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,02AUG1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
52,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,03AUG1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
53,,CC,,,,,,,,,,,,,,,88,,0,,,,,,,,05AUG1981,,,,,,,,N,,,,,,,,,,,,,,,,,
54,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,08AUG1981,,,,,,,,N,,,,,,,,,,,,,,,,,
55,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,12AUG1981,,,,,,,,Y,,,,,,,,,,,,,,,,,
1,,CC,,,,,,,,,,,,,,,141,,123,,,,,,,,03JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
2,,CC,,,,,,,,,,,,,,,126,,78,,,,,,,,03JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
3,,CC,,,,,,,,,,,,,,,135,,116,,,,,,,,05JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
4,,CC,,,,,,,,,,,,,,,145,,111,,,,,,,,07JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
5,,CC,,,,,,,,,,,,,,,102,,94,,,,,,,,08JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
6,,CC,,,,,,,,,,,,,,,,,,,,,,,,,08JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
7,,CC,,,,,,,,,,,,,,,96,,94,,,,,,,,08JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
8,,CC,,,,,,,,,,,,,,,124,,120,,,,,,,,09JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
9,,CC,,,,,,,,,,,,,,,135,,74,,,,,,,,12JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
10,,CC,,,,,,,,,,,,,,,93,,28,,,,,,,,02JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
11,,CC,,,,,,,,,,,,,,,,,,,,,,,,,12JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
12,,CC,,,,,,,,,,,,,,,113,,3,,,,,,,,02JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
13,,CC,,,,,,,,,,,,,,,129,,94,,,,,,,,14JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
14,,CC,,,,,,,,,,,,,,,,,,,,,,,,,02JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
15,,CC,,,,,,,,,,,,,,,157,,129,,,,,,,,15JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
16,,CC,,,,,,,,,,,,,,,118,,106,,,,,,,,02JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
17,,CC,,,,,,,,,,,,,,,84,,76,,,,,,,,15JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
18,,CC,,,,,,,,,,,,,,,102,,87,,,,,,,,15JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
19,,CC,,,,,,,,,,,,,,,148,,130,,,,,,,,15JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
20,,CC,,,,,,,,,,,,,,,,,,,,,,,,,17JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
21,,CC,,,,,,,,,,,,,,,,,,,,,,,,,18JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
22,,CC,,,,,,,,,,,,,,,135,,96,,,,,,,,02JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
23,,CC,,,,,,,,,,,,,,,113,,111,,,,,,,,18JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
24,,CC,,,,,,,,,,,,,,,96,,63,,,,,,,,18JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
25,,CC,,,,,,,,,,,,,,,,,,,,,,,,,02JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
26,,CC,,,,,,,,,,,,,,,65,,60,,,,,,,,02JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
27,,CC,,,,,,,,,,,,,,,103,,99,,,,,,,,19JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
28,,CC,,,,,,,,,,,,,,,162,,66,,,,,,,,19JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
29,,CC,,,,,,,,,,,,,,,104,,87,,,,,,,,19JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
30,,CC,,,,,,,,,,,,,,,103,,83,,,,,,,,20JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
31,,CC,,,,,,,,,,,,,,,137,,131,,,,,,,,20JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
32,,CC,,,,,,,,,,,,,,,127,,95,,,,,,,,21JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
33,,CC,,,,,,,,,,,,,,,114,,87,,,,,,,,21JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
34,,CC,,,,,,,,,,,,,,,132,,99,,,,,,,,23JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
35,,CC,,,,,,,,,,,,,,,124,,84,,,,,,,,25JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
36,,CC,,,,,,,,,,,,,,,97,,79,,,,,,,,27JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
37,,CC,,,,,,,,,,,,,,,140,,69,,,,,,,,28JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
38,,CC,,,,,,,,,,,,,,,161,,151,,,,,,,,29JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
39,,CC,,,,,,,,,,,,,,,66,,57,,,,,,,,30JUN1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
40,,CC,,,,,,,,,,,,,,,129,,115,,,,,,,,21JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
41,,CC,,,,,,,,,,,,,,,,,,,,,,,,,24JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
42,,CC,,,,,,,,,,,,,,,128,,115,,,,,,,,27JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
