Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,disHT2,disVeg2,dna_id,prevtags,first_action,exit_time,year
15,,CC,,,,,,,,,,,,,,,157.0,,129.0,,,,,,,,15-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
16,,CC,,,,,,,,,,,,,,,118.0,,106.0,,,,,,,,2-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
17,,CC,,,,,,,,,,,,,,,84.0,,76.0,,,,,,,,15-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
18,,CC,,,,,,,,,,,,,,,102.0,,87.0,,,,,,,,15-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
19,,CC,,,,,,,,,,,,,,,148.0,,130.0,,,,,,,,15-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
20,,CC,,,,,,,,,,,,,,,,,,,,,,,,,17-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
21,,CC,,,,,,,,,,,,,,,,,,,,,,,,,18-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
22,,CC,,,,,,,,,,,,,,,135.0,,96.0,,,,,,,,2-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
23,,CC,,,,,,,,,,,,,,,113.0,,111.0,,,,,,,,18-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
24,,CC,,,,,,,,,,,,,,,96.0,,63.0,,,,,,,,18-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
25,,CC,,,,,,,,,,,,,,,,,,,,,,,,,2-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
26,,CC,,,,,,,,,,,,,,,65.0,,60.0,,,,,,,,2-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
27,,CC,,,,,,,,,,,,,,,103.0,,99.0,,,,,,,,19-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
28,,CC,,,,,,,,,,,,,,,162.0,,66.0,,,,,,,,19-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
29,,CC,,,,,,,,,,,,,,,104.0,,87.0,,,,,,,,19-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
30,,CC,,,,,,,,,,,,,,,103.0,,83.0,,,,,,,,20-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
31,,CC,,,,,,,,,,,,,,,137.0,,131.0,,,,,,,,20-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
32,,CC,,,,,,,,,,,,,,,127.0,,95.0,,,,,,,,21-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
33,,CC,,,,,,,,,,,,,,,114.0,,87.0,,,,,,,,21-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
34,,CC,,,,,,,,,,,,,,,132.0,,99.0,,,,,,,,23-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
35,,CC,,,,,,,,,,,,,,,124.0,,84.0,,,,,,,,25-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
36,,CC,,,,,,,,,,,,,,,97.0,,79.0,,,,,,,,27-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
37,,CC,,,,,,,,,,,,,,,140.0,,69.0,,,,,,,,28-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
38,,CC,,,,,,,,,,,,,,,161.0,,151.0,,,,,,,,29-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
39,,CC,,,,,,,,,,,,,,,66.0,,57.0,,,,,,,,30-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
40,,CC,,,,,,,,,,,,,,,129.0,,115.0,,,,,,,,21-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
41,,CC,,,,,,,,,,,,,,,,,,,,,,,,,24-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
42,,CC,,,,,,,,,,,,,,,128.0,,115.0,,,,,,,,27-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
43,,CC,,,,,,,,,,,,,,,113.0,,96.0,,,,,,,,29-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
44,,CC,,,,,,,,,,,,,,,109.0,,100.0,,,,,,,,22-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
